b: 3	h: 7	v: 2073	approx: 10	i: 20
static_evaluation: 2073	parent: None	daughters: [1632, 9281, -2026]	depth: 0	interesting: 15	is_interesting: True	
static_evaluation: -9401	parent: 9957	daughters: [9835, 9768, 9667]	depth: 13	interesting: 2	is_interesting: False	
static_evaluation: 9835	parent: -9401	daughters: []	depth: 14	interesting: 61	is_interesting: False	
static_evaluation: 9768	parent: -9401	daughters: []	depth: 14	interesting: 77	is_interesting: False	
static_evaluation: 9667	parent: -9401	daughters: []	depth: 14	interesting: 97	is_interesting: False	
static_evaluation: 1891	parent: 3736	daughters: [7495, -588, -1521]	depth: 12	interesting: 12	is_interesting: False	
static_evaluation: 7495	parent: 1891	daughters: []	depth: 13	interesting: 39	is_interesting: False	
static_evaluation: -588	parent: 1891	daughters: []	depth: 13	interesting: 56	is_interesting: False	
static_evaluation: -1521	parent: 1891	daughters: []	depth: 13	interesting: 63	is_interesting: False	
static_evaluation: -4158	parent: 4431	daughters: []	depth: 11	interesting: 78	is_interesting: False	
static_evaluation: 505	parent: 3828	daughters: []	depth: 10	interesting: 35	is_interesting: False	
static_evaluation: 1145	parent: 3828	daughters: []	depth: 10	interesting: 85	is_interesting: False	
static_evaluation: -486	parent: 3707	daughters: []	depth: 8	interesting: 31	is_interesting: False	
static_evaluation: 9794	parent: 3707	daughters: []	depth: 8	interesting: 87	is_interesting: False	
static_evaluation: 3695	parent: -3000	daughters: []	depth: 7	interesting: 28	is_interesting: False	
static_evaluation: 8506	parent: -3000	daughters: []	depth: 7	interesting: 45	is_interesting: False	
static_evaluation: 4761	parent: 5731	daughters: [-3386, -650, -4447]	depth: 5	interesting: 79	is_interesting: True	
static_evaluation: -3386	parent: 4761	daughters: []	depth: 6	interesting: 78	is_interesting: False	
static_evaluation: -650	parent: 4761	daughters: [855]	depth: 6	interesting: 2	is_interesting: True	
static_evaluation: 855	parent: -650	daughters: []	depth: 7	interesting: 26	is_interesting: False	
static_evaluation: -4447	parent: 4761	daughters: []	depth: 6	interesting: 33	is_interesting: False	
static_evaluation: 4836	parent: -2396	daughters: [2585, 6335, -4399]	depth: 4	interesting: 22	is_interesting: True	
static_evaluation: 2585	parent: 4836	daughters: [-2239, 5533, 280]	depth: 5	interesting: 89	is_interesting: False	
static_evaluation: -2239	parent: 2585	daughters: []	depth: 6	interesting: 86	is_interesting: False	
static_evaluation: 5533	parent: 2585	daughters: []	depth: 6	interesting: 32	is_interesting: False	
static_evaluation: 280	parent: 2585	daughters: []	depth: 6	interesting: 27	is_interesting: False	
static_evaluation: 6335	parent: 4836	daughters: [6489, 5802, -6049, -6049, -5507, 3008, 5359]	depth: 5	interesting: 19	is_interesting: True	
static_evaluation: 6489	parent: 6335	daughters: []	depth: 6	interesting: 54	is_interesting: False	
static_evaluation: 5802	parent: 6335	daughters: []	depth: 6	interesting: 75	is_interesting: False	
static_evaluation: -6049	parent: 6335	daughters: []	depth: 6	interesting: 73	is_interesting: False	
static_evaluation: -6049	parent: 6335	daughters: []	depth: 6	interesting: 20	is_interesting: False	
static_evaluation: -5507	parent: 6335	daughters: [6260, 9275, 6347]	depth: 6	interesting: 0	is_interesting: True	
static_evaluation: 6260	parent: -5507	daughters: [-5889, -4801, -4425]	depth: 7	interesting: 19	is_interesting: True	
static_evaluation: -5889	parent: 6260	daughters: []	depth: 8	interesting: 92	is_interesting: False	
static_evaluation: -4801	parent: 6260	daughters: []	depth: 8	interesting: 81	is_interesting: False	
static_evaluation: -4425	parent: 6260	daughters: []	depth: 8	interesting: 99	is_interesting: False	
static_evaluation: 9275	parent: -5507	daughters: []	depth: 7	interesting: 95	is_interesting: False	
static_evaluation: 6347	parent: -5507	daughters: []	depth: 7	interesting: 64	is_interesting: False	
static_evaluation: 3008	parent: 6335	daughters: []	depth: 6	interesting: 28	is_interesting: False	
static_evaluation: 5359	parent: 6335	daughters: []	depth: 6	interesting: 46	is_interesting: False	
static_evaluation: -4399	parent: 4836	daughters: [5791, 6673, 4653]	depth: 5	interesting: 79	is_interesting: True	
static_evaluation: 5791	parent: -4399	daughters: []	depth: 6	interesting: 77	is_interesting: False	
static_evaluation: 6673	parent: -4399	daughters: []	depth: 6	interesting: 55	is_interesting: False	
static_evaluation: 4653	parent: -4399	daughters: []	depth: 6	interesting: 96	is_interesting: False	
static_evaluation: 2360	parent: 6850	daughters: [6770, 15, -1783]	depth: 3	interesting: 57	is_interesting: True	
static_evaluation: 6770	parent: 2360	daughters: [-6254, 5209, 7045]	depth: 4	interesting: 12	is_interesting: True	
static_evaluation: -6254	parent: 6770	daughters: [7652, 8974, 7170]	depth: 5	interesting: 34	is_interesting: True	
static_evaluation: 7652	parent: -6254	daughters: []	depth: 6	interesting: 80	is_interesting: False	
static_evaluation: 8974	parent: -6254	daughters: []	depth: 6	interesting: 52	is_interesting: False	
static_evaluation: 7170	parent: -6254	daughters: [-6667, -337, 6880]	depth: 6	interesting: 13	is_interesting: True	
static_evaluation: -6667	parent: 7170	daughters: []	depth: 7	interesting: 66	is_interesting: False	
static_evaluation: -337	parent: 7170	daughters: []	depth: 7	interesting: 67	is_interesting: False	
static_evaluation: 6880	parent: 7170	daughters: []	depth: 7	interesting: 40	is_interesting: False	
static_evaluation: 5209	parent: 6770	daughters: [-4535, -1634, 8624]	depth: 5	interesting: 71	is_interesting: True	
static_evaluation: -4535	parent: 5209	daughters: [4706, 9497, 7989]	depth: 6	interesting: 5	is_interesting: True	
static_evaluation: 4706	parent: -4535	daughters: []	depth: 7	interesting: 88	is_interesting: False	
static_evaluation: 9497	parent: -4535	daughters: [-9285, 8172, -7378]	depth: 7	interesting: 7	is_interesting: True	
static_evaluation: -9285	parent: 9497	daughters: []	depth: 8	interesting: 46	is_interesting: False	
static_evaluation: 8172	parent: 9497	daughters: []	depth: 8	interesting: 80	is_interesting: False	
static_evaluation: -7378	parent: 9497	daughters: []	depth: 8	interesting: 58	is_interesting: False	
static_evaluation: 7989	parent: -4535	daughters: [-8061, 2580, -2013]	depth: 7	interesting: 14	is_interesting: True	
static_evaluation: -8061	parent: 7989	daughters: []	depth: 8	interesting: 20	is_interesting: False	
static_evaluation: 2580	parent: 7989	daughters: []	depth: 8	interesting: 97	is_interesting: False	
static_evaluation: -2013	parent: 7989	daughters: []	depth: 8	interesting: 43	is_interesting: False	
static_evaluation: -1634	parent: 5209	daughters: []	depth: 6	interesting: 32	is_interesting: False	
static_evaluation: 8624	parent: 5209	daughters: []	depth: 6	interesting: 59	is_interesting: False	
static_evaluation: 7045	parent: 6770	daughters: [7835, 4461, -6180, 8788, 7417, -6733]	depth: 5	interesting: 13	is_interesting: True	
static_evaluation: 7835	parent: 7045	daughters: []	depth: 6	interesting: 97	is_interesting: False	
static_evaluation: 4461	parent: 7045	daughters: []	depth: 6	interesting: 24	is_interesting: False	
static_evaluation: -6180	parent: 7045	daughters: [9443, 7606, 6466]	depth: 6	interesting: 3	is_interesting: True	
static_evaluation: 9443	parent: -6180	daughters: []	depth: 7	interesting: 100	is_interesting: False	
static_evaluation: 7606	parent: -6180	daughters: []	depth: 7	interesting: 74	is_interesting: False	
static_evaluation: 6466	parent: -6180	daughters: []	depth: 7	interesting: 69	is_interesting: False	
static_evaluation: 8788	parent: 7045	daughters: [3180, 8266, -8203]	depth: 6	interesting: 15	is_interesting: True	
static_evaluation: 3180	parent: 8788	daughters: []	depth: 7	interesting: 62	is_interesting: False	
static_evaluation: 8266	parent: 8788	daughters: []	depth: 7	interesting: 83	is_interesting: False	
static_evaluation: -8203	parent: 8788	daughters: []	depth: 7	interesting: 54	is_interesting: False	
static_evaluation: 7417	parent: 7045	daughters: []	depth: 6	interesting: 31	is_interesting: False	
static_evaluation: -6733	parent: 7045	daughters: [8282, 9824, 6473]	depth: 6	interesting: 3	is_interesting: True	
static_evaluation: 8282	parent: -6733	daughters: []	depth: 7	interesting: 34	is_interesting: False	
static_evaluation: 9824	parent: -6733	daughters: []	depth: 7	interesting: 98	is_interesting: False	
static_evaluation: 6473	parent: -6733	daughters: []	depth: 7	interesting: 44	is_interesting: False	
static_evaluation: 15	parent: 2360	daughters: [4089, 7256, 570]	depth: 4	interesting: 67	is_interesting: True	
static_evaluation: 4089	parent: 15	daughters: [9148, 5917, 4142, 4365, -3708]	depth: 5	interesting: 66	is_interesting: True	
static_evaluation: 9148	parent: 4089	daughters: []	depth: 6	interesting: 62	is_interesting: False	
static_evaluation: 5917	parent: 4089	daughters: []	depth: 6	interesting: 72	is_interesting: False	
static_evaluation: 4142	parent: 4089	daughters: []	depth: 6	interesting: 62	is_interesting: False	
static_evaluation: 4365	parent: 4089	daughters: [5897, 15, -4074]	depth: 6	interesting: 2	is_interesting: True	
static_evaluation: 5897	parent: 4365	daughters: []	depth: 7	interesting: 33	is_interesting: False	
static_evaluation: 15	parent: 4365	daughters: [9512, 4107, 325]	depth: 7	interesting: 3	is_interesting: True	
static_evaluation: 9512	parent: 15	daughters: []	depth: 8	interesting: 30	is_interesting: False	
static_evaluation: 4107	parent: 15	daughters: [-3753, 2418, 9034]	depth: 8	interesting: 15	is_interesting: False	
static_evaluation: -3753	parent: 4107	daughters: []	depth: 9	interesting: 80	is_interesting: False	
static_evaluation: 2418	parent: 4107	daughters: []	depth: 9	interesting: 99	is_interesting: False	
static_evaluation: 9034	parent: 4107	daughters: []	depth: 9	interesting: 63	is_interesting: False	
static_evaluation: 325	parent: 15	daughters: []	depth: 8	interesting: 71	is_interesting: False	
static_evaluation: -4074	parent: 4365	daughters: [4259, 10362, 5017]	depth: 7	interesting: 14	is_interesting: True	
static_evaluation: 4259	parent: -4074	daughters: []	depth: 8	interesting: 39	is_interesting: False	
static_evaluation: 10362	parent: -4074	daughters: [-9432]	depth: 8	interesting: 19	is_interesting: False	
static_evaluation: -9432	parent: 10362	daughters: [9822, 9937, 9956]	depth: 9	interesting: 5	is_interesting: False	
static_evaluation: 9822	parent: -9432	daughters: []	depth: 10	interesting: 51	is_interesting: False	
static_evaluation: 9937	parent: -9432	daughters: []	depth: 10	interesting: 68	is_interesting: False	
static_evaluation: 9956	parent: -9432	daughters: []	depth: 10	interesting: 87	is_interesting: False	
static_evaluation: 5017	parent: -4074	daughters: []	depth: 8	interesting: 78	is_interesting: False	
static_evaluation: -3708	parent: 4089	daughters: []	depth: 6	interesting: 94	is_interesting: False	
static_evaluation: 7256	parent: 15	daughters: [-4472, 5549, -6886]	depth: 5	interesting: 24	is_interesting: True	
static_evaluation: -4472	parent: 7256	daughters: []	depth: 6	interesting: 94	is_interesting: False	
static_evaluation: 5549	parent: 7256	daughters: []	depth: 6	interesting: 75	is_interesting: False	
static_evaluation: -6886	parent: 7256	daughters: []	depth: 6	interesting: 39	is_interesting: False	
static_evaluation: 570	parent: 15	daughters: [-196]	depth: 5	interesting: 29	is_interesting: True	
static_evaluation: -196	parent: 570	daughters: []	depth: 6	interesting: 64	is_interesting: False	
static_evaluation: -1783	parent: 2360	daughters: [2626, 9402, 3694]	depth: 4	interesting: 96	is_interesting: True	
static_evaluation: 2626	parent: -1783	daughters: [-1754, 3458, 6619]	depth: 5	interesting: 20	is_interesting: True	
static_evaluation: -1754	parent: 2626	daughters: [3806, 3966, 2204]	depth: 6	interesting: 18	is_interesting: True	
static_evaluation: 3806	parent: -1754	daughters: [10000, -786, 7924, -3469]	depth: 7	interesting: 0	is_interesting: True	
static_evaluation: 10000	parent: 3806	daughters: []	depth: 8	interesting: 82	is_interesting: False	
static_evaluation: -786	parent: 3806	daughters: []	depth: 8	interesting: 59	is_interesting: False	
static_evaluation: 7924	parent: 3806	daughters: []	depth: 8	interesting: 84	is_interesting: False	
static_evaluation: -3469	parent: 3806	daughters: []	depth: 8	interesting: 49	is_interesting: False	
static_evaluation: 3966	parent: -1754	daughters: [-3743, 7989, 9348, 6703, 2770]	depth: 7	interesting: 14	is_interesting: True	
static_evaluation: -3743	parent: 3966	daughters: []	depth: 8	interesting: 77	is_interesting: False	
static_evaluation: 7989	parent: 3966	daughters: [-7649, 4521, -4239, 8775]	depth: 8	interesting: 4	is_interesting: False	
static_evaluation: -7649	parent: 7989	daughters: []	depth: 9	interesting: 30	is_interesting: False	
static_evaluation: 4521	parent: 7989	daughters: []	depth: 9	interesting: 91	is_interesting: False	
static_evaluation: -4239	parent: 7989	daughters: []	depth: 9	interesting: 63	is_interesting: False	
static_evaluation: 8775	parent: 7989	daughters: []	depth: 9	interesting: 94	is_interesting: False	
static_evaluation: 9348	parent: 3966	daughters: [-9410, 9907, 666]	depth: 8	interesting: 4	is_interesting: False	
static_evaluation: -9410	parent: 9348	daughters: []	depth: 9	interesting: 100	is_interesting: False	
static_evaluation: 9907	parent: 9348	daughters: []	depth: 9	interesting: 100	is_interesting: False	
static_evaluation: 666	parent: 9348	daughters: []	depth: 9	interesting: 23	is_interesting: False	
static_evaluation: 6703	parent: 3966	daughters: []	depth: 8	interesting: 48	is_interesting: False	
static_evaluation: 2770	parent: 3966	daughters: []	depth: 8	interesting: 52	is_interesting: False	
static_evaluation: 2204	parent: -1754	daughters: []	depth: 7	interesting: 79	is_interesting: False	
static_evaluation: 3458	parent: 2626	daughters: []	depth: 6	interesting: 53	is_interesting: False	
static_evaluation: 6619	parent: 2626	daughters: [-6414]	depth: 6	interesting: 18	is_interesting: True	
static_evaluation: -6414	parent: 6619	daughters: []	depth: 7	interesting: 90	is_interesting: False	
static_evaluation: 9402	parent: -1783	daughters: [-8831, 1363, 961]	depth: 5	interesting: 58	is_interesting: True	
static_evaluation: -8831	parent: 9402	daughters: [9190, 9358]	depth: 6	interesting: 4	is_interesting: True	
static_evaluation: 9190	parent: -8831	daughters: []	depth: 7	interesting: 45	is_interesting: False	
static_evaluation: 9358	parent: -8831	daughters: []	depth: 7	interesting: 81	is_interesting: False	
static_evaluation: 1363	parent: 9402	daughters: []	depth: 6	interesting: 32	is_interesting: False	
static_evaluation: 961	parent: 9402	daughters: []	depth: 6	interesting: 59	is_interesting: False	
static_evaluation: 3694	parent: -1783	daughters: [9895, -2814, -3671]	depth: 5	interesting: 63	is_interesting: True	
static_evaluation: 9895	parent: 3694	daughters: []	depth: 6	interesting: 23	is_interesting: False	
static_evaluation: -2814	parent: 3694	daughters: []	depth: 6	interesting: 89	is_interesting: False	
static_evaluation: -3671	parent: 3694	daughters: []	depth: 6	interesting: 80	is_interesting: False	
static_evaluation: -6072	parent: 6850	daughters: [7028, 6823]	depth: 3	interesting: 75	is_interesting: True	
static_evaluation: 7028	parent: -6072	daughters: [6543, 6715, -6139]	depth: 4	interesting: 70	is_interesting: True	
static_evaluation: 6543	parent: 7028	daughters: [-6331, -290, 1107]	depth: 5	interesting: 6	is_interesting: True	
static_evaluation: -6331	parent: 6543	daughters: []	depth: 6	interesting: 46	is_interesting: False	
static_evaluation: -290	parent: 6543	daughters: [831, 2112, 8943]	depth: 6	interesting: 17	is_interesting: True	
static_evaluation: 831	parent: -290	daughters: [-428, 8912, 9611]	depth: 7	interesting: 15	is_interesting: True	
static_evaluation: -428	parent: 831	daughters: []	depth: 8	interesting: 58	is_interesting: False	
static_evaluation: 8912	parent: 831	daughters: []	depth: 8	interesting: 90	is_interesting: False	
static_evaluation: 9611	parent: 831	daughters: []	depth: 8	interesting: 85	is_interesting: False	
static_evaluation: 2112	parent: -290	daughters: []	depth: 7	interesting: 87	is_interesting: False	
static_evaluation: 8943	parent: -290	daughters: []	depth: 7	interesting: 47	is_interesting: False	
static_evaluation: 1107	parent: 6543	daughters: []	depth: 6	interesting: 96	is_interesting: False	
static_evaluation: 6715	parent: 7028	daughters: [-3139, -4238, -6495]	depth: 5	interesting: 89	is_interesting: False	
static_evaluation: -3139	parent: 6715	daughters: []	depth: 6	interesting: 92	is_interesting: False	
static_evaluation: -4238	parent: 6715	daughters: []	depth: 6	interesting: 28	is_interesting: False	
static_evaluation: -6495	parent: 6715	daughters: []	depth: 6	interesting: 78	is_interesting: False	
static_evaluation: -6139	parent: 7028	daughters: [6528, 7368, 8164, 9992, 8696, 6528]	depth: 5	interesting: 8	is_interesting: True	
static_evaluation: 6528	parent: -6139	daughters: []	depth: 6	interesting: 21	is_interesting: False	
static_evaluation: 7368	parent: -6139	daughters: []	depth: 6	interesting: 34	is_interesting: False	
static_evaluation: 8164	parent: -6139	daughters: []	depth: 6	interesting: 21	is_interesting: False	
static_evaluation: 9992	parent: -6139	daughters: []	depth: 6	interesting: 90	is_interesting: False	
static_evaluation: 8696	parent: -6139	daughters: []	depth: 6	interesting: 22	is_interesting: False	
static_evaluation: 6528	parent: -6139	daughters: []	depth: 6	interesting: 30	is_interesting: False	
static_evaluation: 6823	parent: -6072	daughters: [6630, 7291, -6241, -5898, 6828, 3979]	depth: 4	interesting: 7	is_interesting: True	
static_evaluation: 6630	parent: 6823	daughters: [-72, 3636, -6351]	depth: 5	interesting: 87	is_interesting: False	
static_evaluation: -72	parent: 6630	daughters: []	depth: 6	interesting: 46	is_interesting: False	
static_evaluation: 3636	parent: 6630	daughters: []	depth: 6	interesting: 22	is_interesting: False	
static_evaluation: -6351	parent: 6630	daughters: []	depth: 6	interesting: 74	is_interesting: False	
static_evaluation: 7291	parent: 6823	daughters: [-2484, -3394, 5409, 8556, -7065]	depth: 5	interesting: 65	is_interesting: True	
static_evaluation: -2484	parent: 7291	daughters: []	depth: 6	interesting: 78	is_interesting: False	
static_evaluation: -3394	parent: 7291	daughters: []	depth: 6	interesting: 22	is_interesting: False	
static_evaluation: 5409	parent: 7291	daughters: []	depth: 6	interesting: 41	is_interesting: False	
static_evaluation: 8556	parent: 7291	daughters: []	depth: 6	interesting: 92	is_interesting: False	
static_evaluation: -7065	parent: 7291	daughters: []	depth: 6	interesting: 36	is_interesting: False	
static_evaluation: -6241	parent: 6823	daughters: [6715, 7385, 7758, 9954]	depth: 5	interesting: 95	is_interesting: False	
static_evaluation: 6715	parent: -6241	daughters: [-3663, 9847, -5847]	depth: 6	interesting: 4	is_interesting: True	
static_evaluation: -3663	parent: 6715	daughters: []	depth: 7	interesting: 20	is_interesting: False	
static_evaluation: 9847	parent: 6715	daughters: []	depth: 7	interesting: 77	is_interesting: False	
static_evaluation: -5847	parent: 6715	daughters: [9177, 8176, 6484]	depth: 7	interesting: 14	is_interesting: True	
static_evaluation: 9177	parent: -5847	daughters: []	depth: 8	interesting: 37	is_interesting: False	
static_evaluation: 8176	parent: -5847	daughters: []	depth: 8	interesting: 44	is_interesting: False	
static_evaluation: 6484	parent: -5847	daughters: []	depth: 8	interesting: 21	is_interesting: False	
static_evaluation: 7385	parent: -6241	daughters: []	depth: 6	interesting: 81	is_interesting: False	
static_evaluation: 7758	parent: -6241	daughters: []	depth: 6	interesting: 21	is_interesting: False	
static_evaluation: 9954	parent: -6241	daughters: []	depth: 6	interesting: 53	is_interesting: False	
static_evaluation: -5898	parent: 6823	daughters: [6670, 9169, 6490]	depth: 5	interesting: 52	is_interesting: True	
static_evaluation: 6670	parent: -5898	daughters: []	depth: 6	interesting: 82	is_interesting: False	
static_evaluation: 9169	parent: -5898	daughters: [-8703, -2089, -4942]	depth: 6	interesting: 11	is_interesting: True	
static_evaluation: -8703	parent: 9169	daughters: []	depth: 7	interesting: 88	is_interesting: False	
static_evaluation: -2089	parent: 9169	daughters: [2118, 6659, 7146]	depth: 7	interesting: 4	is_interesting: True	
static_evaluation: 2118	parent: -2089	daughters: []	depth: 8	interesting: 33	is_interesting: False	
static_evaluation: 6659	parent: -2089	daughters: []	depth: 8	interesting: 84	is_interesting: False	
static_evaluation: 7146	parent: -2089	daughters: []	depth: 8	interesting: 54	is_interesting: False	
static_evaluation: -4942	parent: 9169	daughters: []	depth: 7	interesting: 82	is_interesting: False	
static_evaluation: 6490	parent: -5898	daughters: []	depth: 6	interesting: 96	is_interesting: False	
static_evaluation: 6828	parent: 6823	daughters: [-6591, 7181, -503]	depth: 5	interesting: 68	is_interesting: True	
static_evaluation: -6591	parent: 6828	daughters: []	depth: 6	interesting: 64	is_interesting: False	
static_evaluation: 7181	parent: 6828	daughters: [-7185, 3583, -7072]	depth: 6	interesting: 0	is_interesting: True	
static_evaluation: -7185	parent: 7181	daughters: []	depth: 7	interesting: 31	is_interesting: False	
static_evaluation: 3583	parent: 7181	daughters: [-3073, 4419]	depth: 7	interesting: 3	is_interesting: True	
static_evaluation: -3073	parent: 3583	daughters: [9529, 3583, 3410]	depth: 8	interesting: 8	is_interesting: False	
static_evaluation: 9529	parent: -3073	daughters: []	depth: 9	interesting: 36	is_interesting: False	
static_evaluation: 3583	parent: -3073	daughters: []	depth: 9	interesting: 24	is_interesting: False	
static_evaluation: 3410	parent: -3073	daughters: []	depth: 9	interesting: 87	is_interesting: False	
static_evaluation: 4419	parent: 3583	daughters: []	depth: 8	interesting: 50	is_interesting: False	
static_evaluation: -7072	parent: 7181	daughters: []	depth: 7	interesting: 33	is_interesting: False	
static_evaluation: -503	parent: 6828	daughters: []	depth: 6	interesting: 35	is_interesting: False	
static_evaluation: 3979	parent: 6823	daughters: [-3524, 3327, 7113]	depth: 5	interesting: 46	is_interesting: True	
static_evaluation: -3524	parent: 3979	daughters: []	depth: 6	interesting: 59	is_interesting: False	
static_evaluation: 3327	parent: 3979	daughters: []	depth: 6	interesting: 30	is_interesting: False	
static_evaluation: 7113	parent: 3979	daughters: []	depth: 6	interesting: 78	is_interesting: False	
static_evaluation: 4614	parent: 1632	daughters: [-3929, -2981, -53, -2696, -244, -3804, -413, -3935]	depth: 2	interesting: 9	is_interesting: True	
static_evaluation: -3929	parent: 4614	daughters: [4439, 6783, 8839]	depth: 3	interesting: 36	is_interesting: True	
static_evaluation: 4439	parent: -3929	daughters: [8948, 1778, -3871]	depth: 4	interesting: 47	is_interesting: True	
static_evaluation: 8948	parent: 4439	daughters: [-8559, -8154, -8295]	depth: 5	interesting: 81	is_interesting: False	
static_evaluation: -8559	parent: 8948	daughters: []	depth: 6	interesting: 74	is_interesting: False	
static_evaluation: -8154	parent: 8948	daughters: []	depth: 6	interesting: 40	is_interesting: False	
static_evaluation: -8295	parent: 8948	daughters: []	depth: 6	interesting: 88	is_interesting: False	
static_evaluation: 1778	parent: 4439	daughters: [-1373, 1283, 6537]	depth: 5	interesting: 67	is_interesting: True	
static_evaluation: -1373	parent: 1778	daughters: []	depth: 6	interesting: 72	is_interesting: False	
static_evaluation: 1283	parent: 1778	daughters: [-1227, 1968, 237]	depth: 6	interesting: 14	is_interesting: True	
static_evaluation: -1227	parent: 1283	daughters: []	depth: 7	interesting: 77	is_interesting: False	
static_evaluation: 1968	parent: 1283	daughters: []	depth: 7	interesting: 64	is_interesting: False	
static_evaluation: 237	parent: 1283	daughters: []	depth: 7	interesting: 58	is_interesting: False	
